id,title,venue,abstract,feild
840,Detection DNA Point Mutation with Rolling-Circle Amplification Chip,International Conference on Bioinformatics and Biomedical Engineering,"We present a protocol with isothermal rolling-circle amplification (RCA) to detect DNA point mutation on chip. The basic principle of the method is an allele-specific oligonucleotide circularization mediated by special DNA ligase. The probe is circularized when perfect complementary sequences between the probe oligonucleotide and target DNA. Mismatches around the ligation site can prevent probe circularization. The circularized probe (C-probe) can be amplified by rolling circle amplification to generate multimeric singlestranded DNA (ssDNA) Under isothermal condition. There are sequence regions to bind respectively with fluorescent probe, solid probe and Artificial template in the C-probe which we designed. These ssDNA products are hybridized with fluorescent probe and immobilized on a glass slide composing a regular microarray pattern. The signal of fluorescence can be monitored by a scanner in the presence of nucleic acids templates, whereas the probe cannot be circularized and signal of fluorescence cannot be found. The stringency discrimination of the molecular templates are up to 102-103 folds between matched and mismatched sequences. The development of C-probe-based technologies offers a promising prospect for situ detection, microarray, molecular diagnosis, single nucleotide polymorphism, and whole genome amplification.",biology
841,Biomedical Relationship Extraction from Literature Based on Bio-semantic Token Subsequences,Bioinformatics and Biomedicine,"Relationship extraction (RE) from biomedical literature is an important and challenging problem in both text mining and bioinformatics. Although various approaches have been proposed to extract protein-protein interaction types, their accuracy rates leave a large room for further exploration of more effective methods. In this paper, two supervised learning algorithms based on newly-defined ldquobio-semantic token subsequencerdquo are proposed for multi-class biomedical relationship extraction. The first approach calculates a ldquobio-semantic token subsequence kernelrdquo, while the second one explicitly extracts weighted features from bio-semantic token subsequences. The proposed structure called ldquobio-semantic token subsequencerdquo is able to capture semantic features from natural language sentences for biomedical RE. Two supervised learning algorithms based on the proposed structure outperform the state-of-the-art biomedical RE methods on multi-class protein-protein interaction extraction.",biology
842,Network propagation models for gene selection,International Conference on Bioinformatics,"In this paper, we explore several network propagation methods for gene selection from microarray gene expression datasets. The network propagation methods capture gene co-expression and differential expression with unified machine learning frameworks. Large scale experiments on five breast cancer datasets validated that the network propagation methods are capable of selecting genes that are more biologically interpretable and more consistent across multiple datasets, compared with the existing approaches.",biology
843,Analyzing Gene Expression Time-Courses,IEEE/ACM Transactions on Computational Biology and Bioinformatics,"Measuring gene expression over time can provide important insights into basic cellular processes. Identifying groups of genes with similar expression time-courses is a crucial first step in the analysis. As biologically relevant groups frequently overlap, due to genes having several distinct roles in those cellular processes, this is a difficult problem for classical clustering methods. We use a mixture model to circumvent this principal problem, with hidden Markov models (HMMs) as effective and flexible components. We show that the ensuing estimation problem can be addressed with additional labeled data - partially supervised learning of mixtures - through a modification of the Expectation-Maximization (EM) algorithm. Good starting points for the mixture estimation are obtained through a modification to Bayesian model merging, which allows us to learn a collection of initial HMMs. We infer groups from mixtures with a simple information-theoretic decoding heuristic, which quantifies the level of ambiguity in group assignment. The effectiveness is shown with high-quality annotation data. As the HMMs we propose capture asynchronous behavior by design, the groups we find are also asynchronous. Synchronous subgroups are obtained from a novel algorithm based on Viterbi paths. We show the suitability of our HMM mixture approach on biological and simulated data and through the favorable comparison with previous approaches. A software implementing the method is freely available under the GPL from http://ghmm.org/gql. © 2005 IEEE.",biology
844,A New Metric to Measure Gene Product Similarity,Bioinformatics and Biomedicine,"The widespread use of microarray technology and sequencing of genomes has made it increasingly possible to study the cellular sub-systems of organisms. Computational techniques applied to sequence data annotated with ontologies such as the gene ontology (GO) aid in understanding regulatory networks of genes. An important related problem is the estimation of the similarity between gene products based on their annotations. We present an approach to compute gene product similarity that takes into account both the hierarchical nature of GO and the co-occurrence of GO terms in annotations. It also accounts for differences in the cardinality of annotations and differences in the frequency of usage of GO terms. We demonstrate the validity of the metric by computing the similarity between gene products in several different contexts. These include the analysis of similarity within a specific signaling pathway, between proteins constituting a sequence family and the comparative evaluation of different clusterings of microarray data.",biology
845,Robust Fisher's Test for Periodicity Detection in Noisy Biological Time Series,International Conference on Bioinformatics,"Periodicity detection in time series measurements is a usual application of signal processing in studying biological data. The reasons for detecting periodically behaving biological events are many, e.g. periodicity in gene expression time series could suggest cell cycle control over the gene expression. In this paper we present a robust version of the Fisher's test for detecting hidden periodicities in uniformly sampled time series data. The robust test performs better than the original test in case the data is not truly Gaussianly distributed. The proposed robust method is nearly as fast to evaluate as the original Fisher's test.",biology
846,Classification of Left and Right Hand Motor Imagery Tasks Based on EEG Frequency Component Selection,International Conference on Bioinformatics and Biomedical Engineering,"In this paper, a method based on the time-frequency analysis of EEG frequency spectral Fisher-ratio is proposed to pre-select the most relevant movement-related EEG features. Within this method, combining EEG spectral time-frequency distribution with Fisher criterion, the detailed separability information of the frequency components between two classes of EEG patterns in time-frequency plane over C3, C4, Cz are well characterized, which provides a good guide for selecting the most relevant EEG frequency components. According to Fisher-ratio distribution of EEG spectrum by Matching Pursuit (MP) with high frequency resolution, the matched method Morlet wavelet filter is applied to extract the most relevant EEG frequency components. With the optimized EEG features, two classes of EEG patterns during left and right hand motor imagery are discriminated. Here, BCI competition data are analyzed offline and the satisfactory classification results are obtained, which verify the effectiveness of the proposed method in selecting the most relevant EEG spectral components.",biology
847,Predicting MHC-II Binding Affinity Using Multiple Instance Regression,IEEE/ACM Transactions on Computational Biology and Bioinformatics,"Reliably predicting the ability of antigen peptides to bind to major histocompatibility complex class II (MHC-II) molecules is an essential step in developing new vaccines. Uncovering the amino acid sequence correlates of the binding affinity of MHC-II binding peptides is important for understanding pathogenesis and immune response. The task of predicting MHC-II binding peptides is complicated by the significant variability in their length. Most existing computational methods for predicting MHC-II binding peptides focus on identifying a nine amino acids core region in each binding peptide. We formulate the problems of qualitatively and quantitatively predicting flexible length MHC-II peptides as multiple instance learning and multiple instance regression problems, respectively. Based on this formulation, we introduce MHCMIR, a novel method for predicting MHC-II binding affinity using multiple instance regression. We present results of experiments using several benchmark data sets that show that MHCMIR is competitive with the state-of-the-art methods for predicting MHC-II binding peptides. An online web server that implements the MHCMIR method for MHC-II binding affinity prediction is freely accessible at http://ailab.cs.iastate.edu/mhcmir. © 2011 IEEE.",biology
848,An Efficient Algorithm for Haplotype Inference on Pedigrees with Recombinations and Mutations,IEEE/ACM Transactions on Computational Biology and Bioinformatics,"Haplotype Inference (HI) is a computational challenge of crucial importance in a range of genetic studies. Pedigrees allow to infer haplotypes from genotypes more accurately than population data, since Mendelian inheritance restricts the set of possible solutions. In this work, we define a new HI problem on pedigrees, called Minimum-Change Haplotype Configuration (MCHC) problem, that allows two types of genetic variation events: recombinations and mutations. Our new formulation extends the Minimum-Recombinant Haplotype Configuration (MRHC) problem, that has been proposed in the literature to overcome the limitations of classic statistical haplotyping methods. Our contribution is twofold. First, we prove that the MCHC problem is APX-hard under several restrictions. Second, we propose an efficient and accurate heuristic algorithm for MCHC based on an L-reduction to a well-known coding problem. Our heuristic can also be used to solve the original MRHC problem and can take advantage of additional knowledge about the input genotypes. Moreover, the L-reduction proves for the first time that MCHC and MRHC are O(nm/log nm)-approximable on general pedigrees, where n is the pedigree size and m is the genotype length. Finally, we present an extensive experimental evaluation and comparison of our heuristic algorithm with several other state-of-the-art methods for HI on pedigrees. © 2012 IEEE.",biology
849,A GPU-Based multi-swarm PSO method for parameter estimation in stochastic biological systems exploiting discrete-time target series,"Evolutionary Computation, Machine Learning and Data Mining in Bioinformatics","Parameter estimation (PE) of biological systems is one of the most challenging problems in Systems Biology. Here we present a PE method that integrates particle swarm optimization (PSO) to estimate the value of kinetic constants, and a stochastic simulation algorithm to reconstruct the dynamics of the system. The fitness of candidate solutions, corresponding to vectors of reaction constants, is defined as the point-to-point distance between a simulated dynamics and a set of experimental measures, carried out using discrete-time sampling and various initial conditions. A multi-swarm PSO topology with different modalities of particles migration is used to account for the different laboratory conditions in which the experimental data are usually sampled. The whole method has been specifically designed and entirely executed on the GPU to provide a reduction of computational costs. We show the effectiveness of our method and discuss its performances on an enzymatic kinetics and a prokaryotic gene expression network. © 2012 Springer-Verlag.",biology
850,Gene Selection Using Locality Sensitive Laplacian Score,IEEE/ACM Transactions on Computational Biology and Bioinformatics,"Gene selection based on microarray data, is highly important for classifying tumors accurately. Existing gene selection schemes are mainly based on ranking statistics. From manifold learning standpoint, local geometrical structure is more essential to characterize features compared with global information. In this study, we propose a supervised gene selection method called locality sensitive Laplacian score (LSLS), which incorporates discriminative information into local geometrical structure, by minimizing local within-class information and maximizing local between-class information simultaneously. In addition, variance information is considered in our algorithm framework. Eventually, to find more superior gene subsets, which is significant for biomarker discovery, a two-stage feature selection method that combines the LSLS and wrapper method (sequential forward selection or sequential backward selection) is presented. Experimental results of six publicly available gene expression profile data sets demonstrate the effectiveness of the proposed approach compared with a number of state-of-the-art gene selection methods.",biology
851,Inexact Local Alignment Search over Suffix Arrays,Bioinformatics and Biomedicine,"We describe an algorithm for finding approximate seeds for DNA homology searches. In contrast to previous algorithms that use exact or spaced seeds, our approximate seeds may contain insertions and deletions. We present a generalized heuristic for finding such seeds efficiently and prove that the heuristic does not affect sensitivity. We show how to adapt this algorithm to work over the memory efficient suffix array with provably minimal overhead in running time. We demonstrate the effectiveness of our algorithm on two tasks: whole genome alignment of bacteria and alignment of the DNA sequences of 177 genes that are orthologous in human and mouse. We show our algorithm achieves better sensitivity and uses less memory than other commonly used local alignment tools.",biology
852,Mining Frequent Dense Subgraphs based on Extending Vertices from Unbalanced PPI Networks,International Conference on Bioinformatics and Biomedical Engineering,"The prediction of protein function is one of the problems arising in the recent progress in bioinformatics. A common used approach is to derive clusters from PPI dataset. However, such results often contain false positives. In this study, we propose a novel algorithm, EVDENSE, to efficiently mine frequent dense subgraphs from PPI networks. Instead of using summary graph, EVDENSE produces frequent dense patterns by extending vertices. Due to the unbalance character of PPI network, we also propose to generate frequent patterns using relative support. Through dealing with the 4 PPI datasets, the experiments show our method is efficiently. With the help of relative support, more frequent dense functional interaction patterns in the PPI networks can be identified.",biology
853,Classifying protein complexes from candidate subgraphs using fuzzy machine learning model,Bioinformatics and Biomedicine,"Many computational methods have been applied to identify protein complexes from experimentally obtained protein-protein interaction (PPI) networks. Because of the presence of unreliable interactions in PPI networks, multi-functionality of proteins, and complex connectivity of the PPI network, the task is very challenging. In this study, we tackle the presence of unreliable interactions in protein complex using Genetic-Algorithm Fuzzy Naïve Bayes (GAFNB) which takes unreliability into consideration. Many existing methods can provide lots of candidate subgraphs. So we focused on how to classify the protein complexes from the subgraphs by considering the fuzzy attribute of PPI. We experimented with two datasets of size 10,371 and 986, each containing 493 positive protein complexes from MIPS and TAP-MS datasets. We compared the performance of GAFNB with Naïve Bayes (NB). Results show that GAFNB performed better which indicates that a fuzzy model is more suitable when unreliability is present. It is necessary to consider the unreliability in identifying protein complexes.",biology
854,Multiobjective Optimization in Bioinformatics and Computational Biology,IEEE/ACM Transactions on Computational Biology and Bioinformatics," -This paper reviews the application of multiobjective optimization in the fields of bioinformatics and computational biology. A survey of existing work, organized by application area, forms the main body of the review, following an introduction to the key concepts in multiobjective optimization. An original contribution of the review is the identification of five distinct “contexts,” giving rise to multiple objectives: These are used to explain the reasons behind the use of multiobjective optimization in each application area and also to point the way to potential future uses of the technique. Typically, the objectives may estimate very different aspects of the solutions, aspects that are, therefore, incommensurable and often (partially or wholly) in conflict. A general (unconstrained) multiobjective optimization problem (MOP) can be defined mathematically as: 00minimize00 z ¼ f ðxÞ ¼ ðf1ðxÞ; f2ðxÞ; . . . ; fmðxÞÞ ",biology
855,FoldRate: A Web-Server for Predicting Protein Folding Rates from Primary Sequence,The Open Bioinformatics Journal," With the avalanche of gene products in the postgenomic age, the gap between newly found protein sequences and the knowledge of their 3D (three dimensional) structures is becoming increasingly wide. It is highly desired to develop a method by which one can predict the folding rates of proteins based on their amino acid sequence information alone. To address this problem, an ensemble predictor, called FoldRate, was developed by fusing the folding-correlated features that can be either directly obtained or easily derived from the sequences of proteins. It was demonstrated by the jackknife cross-validation on a benchmark dataset constructed recently that FoldRate is at least comparable with or even better than the existing methods that, however, need both the sequence and 3D structure information for predicting the folding rate. As a user-friendly web-server, FoldRate is freely accessible to the public at www.csbio.sjtu.edu.cn/bioinf/FoldRate/, by which one can get the desired result for a query protein sequence in around 30 seconds. ",biology
856,Relationship between Vascular Elasticity and Human Pulse Waveform Based on FFT Analysis of Pulse Waveform with Different Age,International Conference on Bioinformatics and Biomedical Engineering,"This study proposed a method using the value of amplitude of FFT frequency to evaluate the vascular elasticity (VE). Although personally different features of subject and accidentalia in the measurements were existing, the result of the experiment reflected the relationship between VE and the pulse waveform comparatively well, and the relationship between the VE and age indirectly. The value of amplitude of FFT frequency could reflect the subtle variation of the pulse waveform better compared with the K value evaluating the VE reported in the published literature. This method showed potential in the respect of non-invasive VE detecting and put forward a new and doable suggestion for the study of VE.",biology
857,Underlying Principles of Natural Selection in Network Evolution: Systems Biology Approach,Evolutionary Bioinformatics," Systems biology is a rapidly expanding field that integrates diverse areas of science such as physics, engineering, computer science, mathematics, and biology toward the goal of elucidating the underlying principles of hierarchical metabolic and regulatory systems in the cell, and ultimately leading to predictive understanding of cellular response to perturbations. Because post-genomics research is taking place throughout the tree of life, comparative approaches offer a way for combining data from many organisms to shed light on the evolution and function of biological networks from the gene to the organismal level. Therefore, systems biology can build on decades of theoretical work in evolutionary biology, and at the same time evolutionary biology can use the systems biology approach to go in new uncharted directions. In this study, we present a review of how the post-genomics era is adopting comparative approaches and dynamic system methods to understand the underlying design principles of network evolution and to shape the nascent field of evolutionary systems biology. Finally, the application of evolutionary systems biology to robust biological network designs is also discussed from the synthetic biology perspective. ",biology
858,A Propagation-based Algorithm for Inferring Gene-Disease Assocations,German Conference on Bioinformatics," A fundamental challenge in human health is the identification of diseasecausing genes. Recently, several studies have tackled this challenge via a two-step approach: first, a linkage interval is inferred from population studies; second, a computational approach is used to prioritize genes within this interval. State-of-the-art methods for the latter task are based on the observation that genes causing the same or similar diseases tend to lie close to one another in a network of protein-protein or functional interactions. However, most of these approaches use only local network information in the inference process. Here we provide a global, network-based method for prioritizing disease genes. The method is based on formulating constraints on the prioritization function that relate to its smoothness over the network and usage of prior information. A propagation-based method is used to compute a function satisfying the constraints. We test our method on gene-disease association data in a cross-validation setting, and compare it to extant prioritization approaches. We show that our method provides the best overall performance, ranking the true causal gene first for 29% of the 1,369 diseases with a known gene in the OMIM knowledgebase. ",biology
859,Microarray Time-Series Data Clustering Using Rough-Fuzzy C-Means Algorithm,Bioinformatics and Biomedicine,"Clustering is one of the important analysis in functional genomics that discovers groups of co-expressed genes from microarray data. In this paper, the application of rough-fuzzy c-means (RFCM) algorithm is presented to discover co-expressed gene clusters. One of the major issues of the RFCM based microarray data clustering is how to select initial prototypes of different clusters. To overcome this limitation, a method is proposed to select initial cluster centers. It enables the RFCM algorithm to converge to an optimum or near optimum solutions and helps to discover co-expressed gene clusters. A method is also introduced based on Dunn's cluster validity index to identify optimum values of different parameters of the initialization method and the RFCM algorithm. The effectiveness of the RFCM algorithm, along with a comparison with other related methods, is demonstrated on five yeast gene expression time-series data sets using Silhouette index, Davies-Bouldin index, and gene ontology based analysis.",biology
860,BioPM:An Efficient Algorithm for Protein Motif Mining,International Conference on Bioinformatics and Biomedical Engineering,"Protein sequence analysis is one of frontier research issues in Bioinformatics. Sequential patterns in protein sequences can provide useful information for protein research, such as protein family identification. Sequential patterns mining is becoming one of important tasks in protein analysis. In this paper, a novel pattern mining algorithm called BioPM is presented based on prefix projection method. BioPM can mine conserved motifs across protein sequences efficiently. Experiments on Pfam database show that BioPM improves performance. The satisfactory experimental results suggest that BioPM may be applied to protein sequences analysis.",biology
861,Integrative machine learning approach for multi-class SCOP protein fold classification,German Conference on Bioinformatics," Classification and prediction of protein structure has been a central research theme in structural bioinformatics. Due to the imbalanced distribution of proteins over multi SCOP classification, most discriminative machine learning suffers the well-known 'False Positives' problem when learning over these types of problems. We have devised eKISS, an ensemble machine learning specifically designed to increase the coverage of positive examples when learning under multiclass imbalanced data sets. We have applied eKISS to classify 25 SCOP folds and show that our learning system improved over classical learning methods. Learning the similarities (or differences) between protein structures is very important in understanding the relationship between protein sequence, structure and function, and for the analysis of possible evolutionary relationships. Several new initiatives (e.g. structural genomics) and improvement of the methods for structure determination will result in a rapid increase in the number of structures. These highthroughput structure determination projects will produce structural data on proteins for which very little is known about their biology. Thus sophisticated computational methods are needed to detect, search for and compare remote protein homology in the hope that knowledge can be transferred to the new unknown protein (e.g. inference about function). Machine learning is one such approach that has been widely used in the development of automatic protein structure classification and prediction (Turcotte et al, 2001; Selbig and Argos, 1998; King et al., 1994). One of the aims of structural genomics is to enhance the understanding of the relationships between amino acid sequence and its corresponding protein fold. Hence, one of the advantages of using symbolic machine learning approaches for this purpose is to generate human understandable classifiers (rules) from some biological background knowledge that can explain the current protein folds in the Protein Data Bank (PDB). The SCOP database (Lo Conte et al, 2002) is a comprehensive hierarchical human classification of known protein structures, according to their evolutionary and structural relationships. The SCOP database is divided into 4 hierarchical levels: Class, Fold, Superfamily and Family. For SCOP 1.61 (Sept 2002), the 44327 protein domains were classified into 701 folds, resulting in an average of 64 domains per fold. The number of domains per fold varies in SCOP, where some of the folds are highly populated (e.g. TIM barrels) while some of the folds only contain a few examples (e.g. the HSP40/DnaJ peptide-binding fold only contains one protein). Thus, in order to perform learning over the SCOP folds, the common one-againstothers approach (two-class problem) will result in learning with an imbalanced data set. This imbalanced proportion of examples in each class contributes to the poor performance of standard machine learning techniques (e.g. decision trees). Existing machine learning approaches tend to produce a strong discriminatory classifier (high accuracy) with very low sensitivity (also called completeness) when learning on these types of problems. ",biology
862,Development of a Fall Detecting System for the Elderly Residents,International Conference on Bioinformatics and Biomedical Engineering,"Accidental falls are common causes of serious injury and health threats in the elder population. To deliver adequate medical support, the robust and immediate falls detection is important. Since the fall detection in the elderly remains a major challenge in the public health domain, effective fall-detection will provide urgent support and dramatically reduce the cost of medical care. In this work, we propose a fall-detecting system placing an accelerometer on the head level and using an algorithm to distinguish between falls and daily activities. The experimental results have demonstrated the proposed scheme with high reliability and sensitivity on fall detection. The system is not only cost effectively but also potable. It fulfills the requirements of fall detection.",biology
863,Inferring Connectivity of Genetic Regulatory Networks Using Information-Theoretic Criteria,IEEE/ACM Transactions on Computational Biology and Bioinformatics,"Recently, the concept of mutual information has been proposed for infering the structure of genetic regulatory networks from gene expression profiling. After analyzing the limitations of mutual information in inferring the gene-to-gene interactions, this paper introduces the concept of conditional mutual information and based on it proposes two novel algorithms to infer the connectivity structure of genetic regulatory networks. One of the proposed algorithms exhibits a better accuracy while the other algorithm excels in simplicity and flexibility. By exploiting the mutual information and conditional mutual information, a practical metric is also proposed to assess the likeliness of direct connectivity between genes. This novel metric resolves a common limitation associated with the current inference algorithms, namely the situations where the gene connectivity is established in terms of the dichotomy of being either connected or disconnected. Based on the data sets generated by synthetic networks, the performance of the proposed algorithms is compared favorably relative to existing state-of-the-art schemes. The proposed algorithms are also applied on realistic biological measurements, such as the cutaneous melanoma data set, and biological meaningful results are inferred. ÂŠ 2006 IEEE.",biology
864,Named Entity Recognition from Biomedical Text Using SVM,International Conference on Bioinformatics and Biomedical Engineering,"Nowadays biomedical research is developing rapidly. A large number of biomedical knowledge exists in the form of unstructured text documents in various files. Named Entity Recognition (NER) from biomedical text is one of the basic task s of biomedical text mining, of which purpose is to recognize the name of the specified type from the collection of biomedical text. NER result is usually the processing object of other text mining. NER from biological text is the foundation of bioinformatics research. At present, the best f-measure of biological named entity recognition system has reached more than 80%, but is lower than general NER system which can reach about 90%. Here we use support vector machine (SVM), which is an effective and efficient tool to analyze data and recognize patterns, to recognize biomedical named entity. We get data set from GENIA corpus which is a collection of Medline abstracts. In the experiment, we get precision rate= 84.24% and recall rate=80.76% finally.",biology
865,Exploration of Evolutionary Relations between Protein Structures,Bioinformatics Research and Development," We describe a new method for the exploration of evolutionary relations between protein structures. The approach is based on the ESSM algorithm for detecting structural mutations, the output of which is then used for construction of fold space graphs. Fold space graphs can be regarded as a convenient tool for visualization and analysis of evolutionary relationships between protein structures, providing more information than traditional phylogenetic approaches. We have applied the method for analysis of evolutionary relations between CATH protein domains. The experiments allowed us to obtain estimates of the distribution of probabilities for different types of fold mutations, detect several chains of evolutionary related protein domains as well as to explore the most probable b-sheet extension scenarios. ",biology
866,Improved Gapped Alignment in BLAST,IEEE/ACM Transactions on Computational Biology and Bioinformatics," - Homology search is a key tool for understanding the role, structure, and biochemical function of genomic sequences. The most popular technique for rapid homology search is BLAST, which has been in widespread use within universities, research centres, and commercial enterprises since the early 1990s. In this paper, we propose a new step in the BLAST algorithm to reduce the computational cost of searching with negligible effect on accuracy. This new step - semi-gapped alignment - compromises between the efficiency of ungapped alignment and the accuracy of gapped alignment, allowing BLAST to accurately filter sequences with lower computational cost. In addition, we propose an heuristic - restricted insertion alignment - that avoids unlikely evolutionary paths with the aim of reducing gapped alignment cost with negligible effect on accuracy. Together, after including an optimisation of the local alignment recursion, our two techniques more than double the speed of the gapped alignment stages in BLAST. We conclude that our techniques are an important improvement to the BLAST algorithm. Source code for the alignment algorithms is available for download at http://www.bsg.rmit.edu.au/iga/. ",biology
867,Strong Association Rules Mining Without Using Frequent Items for Microarray Analysis,International Conference on Bioinformatics and Biomedical Engineering,"Microarray technology has created a revolution in the field of biological research. Association rules can not only group the similarly expressed genes but also discern relationships among genes. However, the efficiency of traditional method to generate association rules is not very well. We develop a novel algorithm, SAW, to generate strong association rules by combining the paired rules, which can avoid lots of unnecessary computing that traditional method often encounter. The experiments show our method is more efficiently than FARMER.",biology
868,A Calculated Methodology of Regional Contributions Based on MM5-CAMx in Typical City: A 2006 Case Study of SO2 and Sulfate,International Conference on Bioinformatics and Biomedical Engineering,"A calculated methodology of regional contributions based on the MM5-CAMx model was developed to analyze the impact of different emission regions on urban air quality. Meteorological fields of January, April, July and October in 2006 were obtained by running the MM5 modeling system. The SO2 source apportionment technology was used to investigate the influence of the regions on air quality in Tangshan. A K-means clustering algorithm was used to group these contribution rates into five clusters according to daily average concentration contribution of 120 days. Results indicate that the receptor-self as emission region has the important contribution to receptor sites, the pollution could be aggravated by local source emissions. Combined with the Tangshan emission inventory, the analysis shows that several industries are located in inappropriate sits. Additionally the SO2 and PSO4 source apportionment study reveals a few differences from the contributions of emission regions.",biology
869,Early Breast Cancer Detection with Hemi-Elliptical Configuration by UWB Imaging,International Conference on Bioinformatics and Biomedical Engineering,"Ultra-wideband (UWB) microwave imaging is a very promising method for the early breast cancer detection physically based on the large contrast of electromagnetic parameters between the malignant tumor and the normal breast tissues. In this study, the tumor detection in a two dimensional breast model with hemi-elliptical configuration is carried out numerically. The influences from the skin, breast gland and the chest wall are involved in the study. The dispersion characteristics of the breast organisms are taken into account to approach the actual properties of the human breast. Results show that the tumor could be clearly recognized from the reconstructed images created by the confocal algorithm after the appropriate signal processing.",biology
870,Multisample aCGH Data Analysis via Total Variation and Spectral Regularization,IEEE/ACM Transactions on Computational Biology and Bioinformatics," -DNA copy number variation (CNV) accounts for a large proportion of genetic variation. One commonly used approach to detecting CNVs is array-based comparative genomic hybridization (aCGH). Although many methods have been proposed to analyze aCGH data, it is not clear how to combine information from multiple samples to improve CNV detection. In this paper, we propose to use a matrix to approximate the multisample aCGH data and minimize the total variation of each sample as well as the nuclear norm of the whole matrix. In this way, we can make use of the smoothness property of each sample and the correlation among multiple samples simultaneously in a convex optimization framework. We also developed an efficient and scalable algorithm to handle large-scale data. Experiments demonstrate that the proposed method outperforms the state-of-theart techniques under a wide range of scenarios and it is capable of processing large data sets with millions of probes. ",biology
871,Conditional random fields for morphological analysis of wireless ECG signals,International Conference on Bioinformatics," Thanks to advances in mobile sensing technologies, it has recently become practical to deploy wireless electrocardiograph sensors for continuous recording of ECG signals. This capability has diverse applications in the study of human health and behavior, but to realize its full potential, new computational tools are required to e ectively deal with the uncertainty that results from the noisy and highly nonstationary signals collected using these devices. In this work, we present a novel approach to the problem of extracting the morphological structure of ECG signals based on the use of dynamically structured conditional random eld (CRF) models. We apply this framework to the problem of extracting morphological structure from wireless ECG sensor data collected in a lab-based study of habituated cocaine users. Our results show that the proposed CRF-based approach signi cantly out-performs independent prediction models using the same features, as well as a widely cited open source toolkit. ",biology
872,Enhancing the computation of approximate solutions of the protein structure determination problem through global constraints for discrete crystal lattices,Bioinformatics and Biomedicine,This paper investigates alternative global constraints that can be introduced in a constraint solver over discrete crystal lattices. The objective is to enhance the efficiency of lattice solvers in dealing with the construction of approximate solutions of the protein structure determination problem. The paper discusses various alternatives and provides preliminary results concerning the computational properties of the different global constraints.,biology
873,Structure Motif Discovery and Mining the PDB,German Conference on Bioinformatics," Motivation: Many of the most interesting functional and evolutionary relationships among proteins are so ancient that they cannot be reliably detected through sequence analysis and are apparent only through a comparison of the tertiary structures. The conserved features can often be described as structural motifs consisting of a few single residues or Secondary Structure (SS) elements. Confidence in such motifs is greatly boosted when they are found in more than a pair of proteins. Results: We describe an algorithm for the automatic discovery of recurring patterns in protein structures. The patterns consist of individual residues having a defined order along the protein's backbone that come close together in the structure and whose spatial conformations are similar. The residues in a pattern need not be close in the protein's sequence. The work described in this paper builds on an earlier reported algorithm for motif discovery. This paper describes a significant improvement of the algorithm which makes it very efficient. The improved efficiency allows us to use it for doing unsupervised learning of patterns occurring in small subsets in a large set of structures, a non-redundant subset of the Protein Data Bank (PDB) database of all known protein structures. Availability: The program is freely available to academia, requests can be sent to Inge.Jonassen@ii.uib.no. Contact: Inge.Jonassen@ii.uib.no ",biology
874,Efficient and Scalable Indexing Techniques for Biological Sequence Data,Bioinformatics Research and Development," We investigate indexing techniques for sequence data, crucial in a wide variety of applications, where efficient, scalable, and versatile search algorithms are required. Recent research has focused on suffix trees (ST) and suffix arrays (SA) as desirable index representations. Existing solutions for very long sequences however provide either efficient index construction or efficient search, but not both. We propose a new ST representation, STTD64, which has reasonable construction time and storage requirement, and is efficient in search. We have implemented the construction and search algorithms for the proposed technique and conducted numerous experiments to evaluate its performance on various types of real sequence data. Our results show that while the construction time for STTD64 is comparable with current ST based techniques, it outperforms them in search. Compared to ESA, the best known SA technique, STTD64 exhibits slower construction time, but has similar space requirement and comparable search time. Unlike ESA, which is memory based, STTD64 is scalable and can handle very long sequences. ",biology
875,A Brain MR Images Segmentation Method Based on SOM Neural Network,International Conference on Bioinformatics and Biomedical Engineering,"Image segmentation is an indispensable process in the visualization of human tissues, particularly during clinical analysis of magnetic resonance (MR) images. In this paper, a novel brain MR images segmentation method is presented based on self-organizing map (SOM) neural network. The method comprises two main steps: feature extraction and pixel classification based on SOM neural network. In traditional techniques, neural network's input is the feature vector extracted from the intensity of the pixel and of its n nearest neighbors, which introduces dependency on the gray levels spatial distribution, and thus the final segmentation results are prone to be effected by noise. To enhance the robustness of the method, we perform statistical transformation to the traditional feature vector as neural network's input. Simulated brain MR images with different noise levels and intensity inhomogeneities are segmented to demonstrate the superiority of the proposed method compared to the traditional technique.",biology
876,Algorithms for Regularized Linear Discriminant Analysis,International Conference on Bioinformatics," This paper is focused on regularized versions of classification analysis and their computation for highdimensional data. A variety of regularized classification methods has been proposed and we critically discuss their computational aspects. We formulate several new algorithms for regularized linear discriminant analysis, which exploits a regularized covariance matrix estimator towards a regular target matrix. Numerical linear algebra considerations are used to propose tailor-made algorithms for specific choices of the target matrix. Further, we arrive at proposing a new classification method based on L2-regularization of group means and the pooled covariance matrix and accompany it by an efficient algorithm for its computation. ",biology
